function_id,degree,base_field_label,base_field_degree,sigma_one,sigma_two,sigma_three,ordinal,citations,family,original_model,monic_centered,chebyshev_model,reduced_model,newton_model,display_model,is_polynomial,is_chebyshev,is_newton,is_lattes,is_pcf,automorphism_group_cardinality,rational_twists,critical_portrait_cardinality,post_critical_cardinality,critical_portrait_components,critical_portrait_structure,critical_portrait_graph_id
101,2,1.1.1.1,1,66f2531a,4ac13853,ba29e6b4,1,,{},"(""{{4,5,5},{-2,3,3}}"",484,""{2,11}"",1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,5,5},{-2,3,3}}"",484,""{2,11}"",1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
162,3,1.1.1.1,1,ad8ccd97,1c52aba6,e718711f,1,,{},"(""{{2,3,0,-1},{0,3,6,0}}"",270,""{2,3,5}"",1.791759469228055,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{2,3,0,-1},{0,3,6,0}}"",270,""{2,3,5}"",1.791759469228055,1.1.1.1,""{1,-1,0,1}"",1.1.1.1)","(""{{2,3,0,-1},{0,3,6,0}}"",270,""{2,3,5}"",1.791759469228055,1.1.1.1,""{1,0,3,1}"",""{1,0,0,1}"",1.1.1.1)",reduced,f,f,t,f,t,1,,6,5,"{3,1,1,1}","{3,1,1,1}",
1,2,1.1.1.1,1,a68cf1ff,024ac6d7,a2cb972c,1,{4},{1},"(""{{1,0,0},{0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,0},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,0},{0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{-1,0,0},{0,-2,1}}"",1,{},0.6931471805599453,1.1.1.1,""{0,1,-1}"",""{-1,0,-1,1}"",1.1.1.1)",monic centered,t,f,t,f,t,2,,2,2,"{1,1}","{1,1}",
102,2,1.1.1.1,1,ed5e9af4,21e2f48c,de4706f1,1,,{},"(""{{4,5,5},{-2,3,7}}"",1004,""{2,251}"",1.9459101490553132,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,5,5},{-2,3,7}}"",1004,""{2,251}"",1.9459101490553132,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
2,2,1.1.1.1,1,1a2a6bbf,1ed2bf82,6edcb03a,1,{4},{1},"(""{{1,0,1},{0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,1},{0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
163,4,1.1.1.1,1,7e1406dd,6d8da028,c44fe2eb,1,,,"(""{{1,0,0,-8,0},{0,4,0,0,4}}"",186624,""{2,3}"",2.0794415416798357,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{1,0,0,-8,0},{0,4,0,0,4}}"",186624,""{2,3}"",2.0794415416798357,1.1.1.1,""{0,-2,1,0}"",1.1.1.1)",,reduced,f,f,f,t,t,3,,10,4,{10},{10},
103,2,1.1.1.1,1,61848a1a,3b927992,3a7b53c7,1,,{},"(""{{4,5,5},{-2,3,4}}"",566,""{2,283}"",1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,5,5},{-2,3,4}}"",566,""{2,283}"",1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
3,2,1.1.1.1,1,b5876aa4,6951d87f,ee350f41,1,{4},{1},"(""{{1,0,-1},{0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,-1},{0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,t,1,,3,3,"{2,1}","{2,1}",
104,2,1.1.1.1,1,41f128ce,adc6c84e,d2dc8428,1,,{},"(""{{4,5,5},{-2,3,6}}"",826,""{2,7,59}"",1.791759469228055,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,5,5},{-2,3,6}}"",826,""{2,7,59}"",1.791759469228055,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
105,2,1.1.1.1,1,9313f00c,f3889102,f1ed12b8,1,,{},"(""{{4,5,5},{-2,3,1}}"",416,""{2,13}"",1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,5,5},{-2,3,1}}"",416,""{2,13}"",1.6094379124341003,1.1.1.1,""{-1,-3,1,-1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
106,2,1.1.1.1,1,6428ac37,cbfa3bb6,920f308d,1,,{},"(""{{4,5,5},{-2,3,9}}"",1456,""{2,7,13}"",2.1972245773362196,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,5,5},{-2,3,9}}"",1456,""{2,7,13}"",2.1972245773362196,1.1.1.1,""{1,-1,1,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
107,2,1.1.1.1,1,0ee2da1e,00f2bec8,c363da7b,1,,{1},"(""{{4,0,0},{-2,8,-1}}"",16,{2},2.0794415416798357,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1/8},{0,0,1}}"",1,{2},,1.1.1.1,""{0,1,-4,4}"",1.1.1.1)",,"(""{{4,0,0},{-2,8,-1}}"",16,{2},2.0794415416798357,1.1.1.1,""{0,-1,1,-2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
6,2,1.1.1.1,1,60595ac2,b832d982,0e44ea50,1,{4},{1},"(""{{1,0,2},{0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,2},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,2},{0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,1,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
108,2,1.1.1.1,1,f042dbd2,eaa3b9d1,b68ee433,1,,{1},"(""{{4,0,0},{-2,8,1}}"",16,{2},2.0794415416798357,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1/8},{0,0,1}}"",1,{2},,1.1.1.1,""{0,1,4,-4}"",1.1.1.1)",,"(""{{4,0,0},{-2,8,1}}"",16,{2},2.0794415416798357,1.1.1.1,""{0,-1,1,4}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
7,2,1.1.1.1,1,a6935bbd,880302df,5472c290,1,{4},{1},"(""{{1,0,-2},{0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-2},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{2,0,-1},{0,0,1}}"",4,{2},0.6931471805599453,1.1.1.1,""{2,0,0,1}"",1.1.1.1)","(""{{1,0,-2},{0,0,1}}"",1,{},0.6931471805599453,1.1.1.1,""{1,1,0,1}"",1.1.1.1)",,chebyshev,t,t,f,f,t,1,,4,3,"{3,1}","{3,1}",
8,2,1.1.1.1,1,98b02f9b,825b9f66,c7358e10,1,{4},{1},"(""{{3,0,1},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,1/3},{0,0,1}}"",1,{3},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{3,0,1},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,1,0,3}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
109,2,1.1.1.1,1,89eb0e1e,d90eecb7,2ae43749,1,,{},"(""{{2,4,4},{-1,0,4}}"",80,""{2,5}"",1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{2,4,4},{-1,0,4}}"",80,""{2,5}"",1.3862943611198906,1.1.1.1,""{0,-2,1,0}"",1.1.1.1)",,reduced,f,f,f,f,t,1,,7,5,{7},{7},
9,2,1.1.1.1,1,ea7e69fe,2167c74c,a68c44f6,1,{4},{1},"(""{{3,0,-1},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-1/3},{0,0,1}}"",1,{3},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{3,0,-1},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,0,0,3}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
110,2,1.1.1.1,1,6d3c5427,32f17009,662f0c76,1,,{},"(""{{2,4,4},{-1,0,3}}"",52,""{2,13}"",1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{2,4,4},{-1,0,3}}"",52,{13},1.3862943611198906,1.1.1.1,""{-1,-2,1,0}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
10,2,1.1.1.1,1,26124ad2,7f492c40,82b280ce,1,{4},{1},"(""{{1,0,3},{0,0,1}}"",1,{},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,3},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,3},{0,0,1}}"",1,{},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
111,2,1.1.1.1,1,1b7a8a86,d73a4a7a,819fc3af,1,,{},"(""{{2,4,4},{-1,0,5}}"",116,""{2,29}"",1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{2,4,4},{-1,0,5}}"",116,""{2,29}"",1.6094379124341003,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
112,2,1.1.1.1,1,1a215203,d5e9c1ee,6fb4ea6c,1,,{},"(""{{4,8,8},{-2,0,7}}"",1040,""{2,5,13}"",2.0794415416798357,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,8,8},{-2,0,7}}"",1040,""{2,5,13}"",2.0794415416798357,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
11,2,1.1.1.1,1,a34189c0,fa08537d,4966d5d2,1,{4},{1},"(""{{1,0,-3},{0,0,1}}"",1,{},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-3},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,-3},{0,0,1}}"",1,{},1.0986122886681098,1.1.1.1,""{1,-1,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
113,2,1.1.1.1,1,e77de3d5,ddf42e2a,475b340e,1,,{},"(""{{4,8,8},{-2,0,9}}"",1552,""{2,97}"",2.1972245773362196,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{4,8,8},{-2,0,9}}"",1552,""{2,97}"",2.1972245773362196,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
12,2,1.1.1.1,1,38b604bd,fbc0016d,0ba1f661,1,{4},{1},"(""{{3,0,2},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,2/3},{0,0,1}}"",1,{3},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{3,0,2},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,1,0,3}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
114,2,1.1.1.1,1,095ed92d,7e1406dd,b4b90313,1,,{},"(""{{2,4,4},{-1,0,2}}"",32,{2},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{2,4,4},{-1,0,2}}"",32,{2},1.3862943611198906,1.1.1.1,""{0,-2,1,1}"",1.1.1.1)",,reduced,f,f,f,t,t,1,,6,4,{6},{6},
13,2,1.1.1.1,1,200f1e9f,4872ce7c,359a4fa7,1,{4},{1},"(""{{3,0,-2},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-2/3},{0,0,1}}"",1,{3},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{3,0,-2},{0,0,3}}"",81,{3},1.0986122886681098,1.1.1.1,""{1,-1,0,3}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
115,2,1.1.1.1,1,08d15f83,120e796a,2464c712,1,,{},"(""{{2,4,4},{-1,0,6}}"",160,""{2,5}"",1.791759469228055,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,,"(""{{2,4,4},{-1,0,6}}"",160,""{2,5}"",1.791759469228055,1.1.1.1,""{0,-2,1,0}"",1.1.1.1)",,reduced,f,f,f,f,f,1,,,,,,
14,2,1.1.1.1,1,281658d3,49fc7a43,c0723e42,1,{4},{1},"(""{{2,0,3},{0,0,2}}"",16,{2},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,3/2},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{2,0,3},{0,0,2}}"",16,{2},1.0986122886681098,1.1.1.1,""{1,1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
116,3,1.1.1.1,1,5fe37194,3d72adff,a20d936e,1,{1},{2},"(""{{1,0,0,0},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,0,0},{0,0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,0,0},{0,0,0,1}}"",1,{},0,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,t,4,,2,2,"{1,1}","{1,1}",
15,2,1.1.1.1,1,46de8dac,4c0bba09,df85561f,1,{4},{1},"(""{{2,0,-3},{0,0,2}}"",16,{2},1.0986122886681098,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-3/2},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{2,0,-3},{0,0,2}}"",16,{2},1.0986122886681098,1.1.1.1,""{1,-1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
18,2,1.1.1.1,1,2a33d80f,d5369193,fbfdbc67,1,{4},{1},"(""{{1,0,4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,4},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
19,2,1.1.1.1,1,c9569bc0,a7053830,02f5e6bd,1,{4},{1},"(""{{1,0,-4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,-4},{0,0,1}}"",1,{},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{1,0,-4},{0,0,1}}"",1,{},1.3862943611198906,1.1.1.1,""{1,-1,0,1}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
20,2,1.1.1.1,1,9001b02b,7e85e52e,bcf2d069,1,{4},{1},"(""{{4,0,3},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,0,0,1}"",1.1.1.1)","(""{{1,0,3/4},{0,0,1}}"",1,{2},,1.1.1.1,""{1,0,0,1}"",1.1.1.1)",,"(""{{4,0,3},{0,0,4}}"",256,{2},1.3862943611198906,1.1.1.1,""{1,1,0,2}"",1.1.1.1)",,monic centered,t,f,f,f,f,1,,,,,,
