graph_id,cardinality,edges,num_components,periodic_cycles,preperiodic_components,max_tail
2,4,"{3,1,2,3}",3,"{1,1,1}","{2,1,1}",1
3,1,{0},1,{1},{1},0
4,4,"{1,0,2,1}",2,"{1,2}","{3,1}",1
5,6,"{5,1,0,3,1,5}",3,"{1,1,1}","{3,2,1}",2
6,5,"{3,0,2,0,3}",2,"{1,2}","{4,1}",1
7,3,"{2,1,2}",2,"{1,1}","{2,1}",1
39,5,"{4,1,1,3,4}",3,"{1,1,1}","{2,2,1}",1
40,5,"{3,0,2,0,3}",2,"{2,1}","{4,1}",1
41,4,"{0,1,2,3}",4,"{1,1,1,1}","{1,1,1,1}",0
42,2,"{0,1}",2,"{1,1}","{1,1}",0
43,4,"{1,1,2,1}",2,"{1,1}","{3,1}",1
44,3,"{1,0,0}",1,{2},{3},1
45,2,"{1,1}",1,{1},{2},1
46,0,{},0,{},{},0
47,4,"{1,1,3,3}",2,"{1,1}","{2,2}",1
48,4,"{1,0,2,1}",2,"{2,1}","{3,1}",1
49,4,"{1,2,1,2}",1,{2},{4},1
56,4,"{3,1,2,0}",3,"{2,1,1}","{2,1,1}",0
57,3,"{2,1,0}",2,"{2,1}","{2,1}",0
58,3,"{0,1,2}",3,"{1,1,1}","{1,1,1}",0
59,6,"{4,1,3,3,4,1}",3,"{1,1,1}","{2,2,2}",1
60,5,"{4,2,4,2,4}",1,{1},{5},2
