label,degree,defn_poly_coeffs,signature,conductor,discriminant,class_number
1.1.1.1,1,"{0,1}","{1,0}",1,1,1
2.2.8.1,2,"{-2,0,1}","{2,0}",8,1,8
2.0.8.1,2,"{2,0,1}","{0,1}",8,1,-8
2.2.12.1,2,"{-3,0,1}","{2,0}",12,1,12
2.0.3.1,2,"{1,-1,1}","{0,1}",3,1,-3
2.2.5.1,2,"{-1,-1,1}","{2,0}",5,1,5
2.0.20.1,2,"{5,0,1}","{0,1}",20,2,-20
2.2.24.1,2,"{-6,0,1}","{2,0}",24,1,24
2.0.24.1,2,"{6,0,1}","{0,1}",24,2,-24
2.2.28.1,2,"{-7,0,1}","{2,0}",28,1,28
2.0.7.1,2,"{2,-1,1}","{0,1}",7,1,-7
2.2.40.1,2,"{-10,0,1}","{2,0}",40,2,40
2.0.40.1,2,"{10,0,1}","{0,1}",40,2,-40
2.2.44.1,2,"{-11,0,1}","{2,0}",44,1,44
2.0.11.1,2,"{3,-1,1}","{0,1}",11,1,-11
2.2.13.1,2,"{-3,-1,1}","{2,0}",13,1,13
2.0.52.1,2,"{13,0,1}","{0,1}",52,2,-52
2.2.56.1,2,"{-14,0,1}","{2,0}",56,1,56
2.0.56.1,2,"{14,0,1}","{0,1}",56,4,-56
2.2.60.1,2,"{-15,0,1}","{2,0}",60,2,60
2.0.15.1,2,"{4,-1,1}","{0,1}",15,2,-15
2.2.17.1,2,"{-4,-1,1}","{2,0}",17,1,17
2.0.68.1,2,"{17,0,1}","{0,1}",68,4,-68
2.2.76.1,2,"{-19,0,1}","{2,0}",76,1,76
2.0.19.1,2,"{5,-1,1}","{0,1}",19,1,-19
2.2.21.1,2,"{-5,-1,1}","{2,0}",21,1,21
2.0.84.1,2,"{21,0,1}","{0,1}",84,4,-84
2.2.88.1,2,"{-22,0,1}","{2,0}",88,1,88
2.0.88.1,2,"{22,0,1}","{0,1}",88,2,-88
2.2.92.1,2,"{-23,0,1}","{2,0}",92,1,92
2.0.23.1,2,"{6,-1,1}","{0,1}",23,3,-23
2.2.104.1,2,"{-26,0,1}","{2,0}",104,2,104
2.0.104.1,2,"{26,0,1}","{0,1}",104,6,-104
2.2.29.1,2,"{-7,-1,1}","{2,0}",29,1,29
2.0.116.1,2,"{29,0,1}","{0,1}",116,6,-116
2.2.120.1,2,"{-30,0,1}","{2,0}",120,2,120
2.0.120.1,2,"{30,0,1}","{0,1}",120,4,-120
2.2.124.1,2,"{-31,0,1}","{2,0}",124,1,124
2.0.31.1,2,"{8,-1,1}","{0,1}",31,3,-31
2.2.33.1,2,"{-8,-1,1}","{2,0}",33,1,33
2.0.132.1,2,"{33,0,1}","{0,1}",132,4,-132
2.2.136.1,2,"{-34,0,1}","{2,0}",136,2,136
2.0.136.1,2,"{34,0,1}","{0,1}",136,4,-136
2.2.140.1,2,"{-35,0,1}","{2,0}",140,2,140
2.0.35.1,2,"{9,-1,1}","{0,1}",35,2,-35
2.2.37.1,2,"{-9,-1,1}","{2,0}",37,1,37
2.0.148.1,2,"{37,0,1}","{0,1}",148,2,-148
2.2.152.1,2,"{-38,0,1}","{2,0}",152,1,152
2.0.152.1,2,"{38,0,1}","{0,1}",152,6,-152
2.2.156.1,2,"{-39,0,1}","{2,0}",156,2,156
2.0.39.1,2,"{10,-1,1}","{0,1}",39,4,-39
2.2.41.1,2,"{-10,-1,1}","{2,0}",41,1,41
2.0.164.1,2,"{41,0,1}","{0,1}",164,8,-164
2.2.168.1,2,"{-42,0,1}","{2,0}",168,2,168
2.0.168.1,2,"{42,0,1}","{0,1}",168,4,-168
2.2.172.1,2,"{-43,0,1}","{2,0}",172,1,172
2.0.43.1,2,"{11,-1,1}","{0,1}",43,1,-43
2.2.184.1,2,"{-46,0,1}","{2,0}",184,1,184
2.0.184.1,2,"{46,0,1}","{0,1}",184,4,-184
2.2.188.1,2,"{-47,0,1}","{2,0}",188,1,188
2.0.47.1,2,"{12,-1,1}","{0,1}",47,5,-47
2.2.204.1,2,"{-51,0,1}","{2,0}",204,2,204
2.0.51.1,2,"{13,-1,1}","{0,1}",51,2,-51
2.2.53.1,2,"{-13,-1,1}","{2,0}",53,1,53
2.0.212.1,2,"{53,0,1}","{0,1}",212,6,-212
2.2.220.1,2,"{-55,0,1}","{2,0}",220,2,220
2.0.55.1,2,"{14,-1,1}","{0,1}",55,4,-55
2.2.57.1,2,"{-14,-1,1}","{2,0}",57,1,57
2.0.228.1,2,"{57,0,1}","{0,1}",228,4,-228
2.2.232.1,2,"{-58,0,1}","{2,0}",232,2,232
2.0.232.1,2,"{58,0,1}","{0,1}",232,2,-232
2.2.236.1,2,"{-59,0,1}","{2,0}",236,1,236
2.0.59.1,2,"{15,-1,1}","{0,1}",59,3,-59
2.2.61.1,2,"{-15,-1,1}","{2,0}",61,1,61
2.0.244.1,2,"{61,0,1}","{0,1}",244,6,-244
2.2.248.1,2,"{-62,0,1}","{2,0}",248,1,248
2.0.248.1,2,"{62,0,1}","{0,1}",248,8,-248
2.2.65.1,2,"{-16,-1,1}","{2,0}",65,2,65
2.0.260.1,2,"{65,0,1}","{0,1}",260,8,-260
2.2.264.1,2,"{-66,0,1}","{2,0}",264,2,264
2.0.264.1,2,"{66,0,1}","{0,1}",264,8,-264
2.2.268.1,2,"{-67,0,1}","{2,0}",268,1,268
2.0.67.1,2,"{17,-1,1}","{0,1}",67,1,-67
2.2.69.1,2,"{-17,-1,1}","{2,0}",69,1,69
2.0.276.1,2,"{69,0,1}","{0,1}",276,8,-276
2.2.280.1,2,"{-70,0,1}","{2,0}",280,2,280
2.0.280.1,2,"{70,0,1}","{0,1}",280,4,-280
2.2.284.1,2,"{-71,0,1}","{2,0}",284,1,284
2.0.71.1,2,"{18,-1,1}","{0,1}",71,7,-71
2.2.73.1,2,"{-18,-1,1}","{2,0}",73,1,73
2.0.292.1,2,"{73,0,1}","{0,1}",292,4,-292
2.2.296.1,2,"{-74,0,1}","{2,0}",296,2,296
2.0.296.1,2,"{74,0,1}","{0,1}",296,10,-296
2.2.77.1,2,"{-19,-1,1}","{2,0}",77,1,77
2.0.308.1,2,"{77,0,1}","{0,1}",308,8,-308
2.2.312.1,2,"{-78,0,1}","{2,0}",312,2,312
2.0.312.1,2,"{78,0,1}","{0,1}",312,4,-312
2.2.316.1,2,"{-79,0,1}","{2,0}",316,3,316
2.0.79.1,2,"{20,-1,1}","{0,1}",79,5,-79
2.2.328.1,2,"{-82,0,1}","{2,0}",328,4,328
2.0.328.1,2,"{82,0,1}","{0,1}",328,4,-328
2.2.332.1,2,"{-83,0,1}","{2,0}",332,1,332
2.0.83.1,2,"{21,-1,1}","{0,1}",83,3,-83
2.2.85.1,2,"{-21,-1,1}","{2,0}",85,2,85
2.0.340.1,2,"{85,0,1}","{0,1}",340,4,-340
2.2.344.1,2,"{-86,0,1}","{2,0}",344,1,344
2.0.344.1,2,"{86,0,1}","{0,1}",344,10,-344
2.2.348.1,2,"{-87,0,1}","{2,0}",348,2,348
2.0.87.1,2,"{22,-1,1}","{0,1}",87,6,-87
2.2.89.1,2,"{-22,-1,1}","{2,0}",89,1,89
2.0.356.1,2,"{89,0,1}","{0,1}",356,12,-356
2.2.364.1,2,"{-91,0,1}","{2,0}",364,2,364
2.0.91.1,2,"{23,-1,1}","{0,1}",91,2,-91
2.2.93.1,2,"{-23,-1,1}","{2,0}",93,1,93
2.0.372.1,2,"{93,0,1}","{0,1}",372,4,-372
2.2.376.1,2,"{-94,0,1}","{2,0}",376,1,376
2.0.376.1,2,"{94,0,1}","{0,1}",376,8,-376
2.2.380.1,2,"{-95,0,1}","{2,0}",380,2,380
2.0.95.1,2,"{24,-1,1}","{0,1}",95,8,-95
2.2.97.1,2,"{-24,-1,1}","{2,0}",97,1,97
2.0.388.1,2,"{97,0,1}","{0,1}",388,4,-388
2.2.101.1,2,"{-25,-1,1}","{2,0}",101,1,101
2.0.404.1,2,"{101,0,1}","{0,1}",404,14,-404
2.2.408.1,2,"{-102,0,1}","{2,0}",408,2,408
2.0.408.1,2,"{102,0,1}","{0,1}",408,4,-408
2.2.412.1,2,"{-103,0,1}","{2,0}",412,1,412
2.0.103.1,2,"{26,-1,1}","{0,1}",103,5,-103
2.2.105.1,2,"{-26,-1,1}","{2,0}",105,2,105
2.0.420.1,2,"{105,0,1}","{0,1}",420,8,-420
2.2.424.1,2,"{-106,0,1}","{2,0}",424,2,424
2.0.424.1,2,"{106,0,1}","{0,1}",424,6,-424
2.2.428.1,2,"{-107,0,1}","{2,0}",428,1,428
2.0.107.1,2,"{27,-1,1}","{0,1}",107,3,-107
2.2.109.1,2,"{-27,-1,1}","{2,0}",109,1,109
2.0.436.1,2,"{109,0,1}","{0,1}",436,6,-436
2.2.440.1,2,"{-110,0,1}","{2,0}",440,2,440
2.0.440.1,2,"{110,0,1}","{0,1}",440,12,-440
2.2.444.1,2,"{-111,0,1}","{2,0}",444,2,444
