id,function_id,base_field_label,rational_periodic_points,graph_id
1,1,1.1.1.1,"{{0,1},{1,0},{1,1}}",1
2,2,1.1.1.1,"{{1,0}}",2
3,3,1.1.1.1,"{{1,0},{-1,1}}",3
4,4,1.1.1.1,"{{1,0}}",2
5,5,1.1.1.1,"{{1,0}}",2
6,6,1.1.1.1,"{{1,0}}",2
7,7,1.1.1.1,"{{-1,1},{1,0},{2,1}}",4
8,8,1.1.1.1,"{{1,0}}",2
9,9,1.1.1.1,"{{1,0}}",2
10,10,1.1.1.1,"{{1,0}}",2
11,11,1.1.1.1,"{{1,0},{-2,1}}",5
12,12,1.1.1.1,"{{1,0}}",2
13,13,1.1.1.1,"{{1,0}}",2
14,14,1.1.1.1,"{{1,0}}",2
15,15,1.1.1.1,"{{1,0}}",2
16,16,1.1.1.1,"{{1/2,1},{1,0}}",6
17,17,1.1.1.1,"{{1,0}}",2
18,18,1.1.1.1,"{{1,0}}",2
19,19,1.1.1.1,"{{1,0}}",2
20,20,1.1.1.1,"{{1,0}}",2
21,21,1.1.1.1,"{{-1/2,1},{1,0},{3/2,1}}",7
22,22,1.1.1.1,"{{1,0}}",2
23,23,1.1.1.1,"{{1,0}}",2
24,24,1.1.1.1,"{{1,0}}",2
25,25,1.1.1.1,"{{1,0}}",2
26,26,1.1.1.1,"{{1,0}}",2
27,27,1.1.1.1,"{{1,0}}",2
28,28,1.1.1.1,"{{1,0}}",2
29,29,1.1.1.1,"{{1,0}}",2
30,30,1.1.1.1,"{{1,0}}",2
31,31,1.1.1.1,"{{1,0}}",2
32,32,1.1.1.1,"{{1,0}}",2
33,33,1.1.1.1,"{{1,0}}",2
34,34,1.1.1.1,"{{1,0}}",2
35,35,1.1.1.1,"{{1,0}}",2
36,36,1.1.1.1,"{{1,0}}",2
37,37,1.1.1.1,"{{1,0}}",2
38,38,1.1.1.1,"{{1,0}}",2
39,39,1.1.1.1,"{{1,0}}",2
40,40,1.1.1.1,"{{1,0}}",2
41,41,1.1.1.1,"{{1,0}}",2
42,42,1.1.1.1,"{{1,0}}",2
43,43,1.1.1.1,"{{-2,1},{1,0},{3,1}}",7
44,44,1.1.1.1,"{{1,0}}",2
45,45,1.1.1.1,"{{1,0}}",2
46,46,1.1.1.1,"{{1,0}}",2
47,47,1.1.1.1,"{{1,0}}",2
48,48,1.1.1.1,"{{1,0}}",2
49,49,1.1.1.1,"{{1,0}}",2
50,50,1.1.1.1,"{{1,0}}",2
51,51,1.1.1.1,"{{1,0},{-3,1}}",5
52,52,1.1.1.1,"{{1,0}}",2
53,53,1.1.1.1,"{{1,0}}",2
54,54,1.1.1.1,"{{1,0}}",2
55,55,1.1.1.1,"{{1,0}}",2
56,56,1.1.1.1,"{{1,0}}",2
57,57,1.1.1.1,"{{1,0}}",2
58,58,1.1.1.1,"{{1,0}}",2
59,59,1.1.1.1,"{{1,0}}",2
60,60,1.1.1.1,"{{1,0}}",2
61,61,1.1.1.1,"{{1,0}}",2
62,62,1.1.1.1,"{{1,0}}",2
63,63,1.1.1.1,"{{1,0},{-3/2,1}}",5
64,64,1.1.1.1,"{{1,0}}",2
65,65,1.1.1.1,"{{1,0}}",2
66,66,1.1.1.1,"{{1,0}}",2
67,67,1.1.1.1,"{{1,0}}",2
68,68,1.1.1.1,"{{1,0}}",2
69,69,1.1.1.1,"{{1,0}}",2
70,70,1.1.1.1,"{{1,0}}",2
71,71,1.1.1.1,"{{1,0}}",2
72,72,1.1.1.1,"{{-2,1}}",8
73,73,1.1.1.1,"{{-1,1}}",9
74,74,1.1.1.1,{},10
75,75,1.1.1.1,{},10
76,76,1.1.1.1,{},10
77,77,1.1.1.1,{},10
78,78,1.1.1.1,{},10
79,79,1.1.1.1,{},10
80,80,1.1.1.1,{},10
81,81,1.1.1.1,"{{-1,1},{1,1}}",11
82,82,1.1.1.1,{},10
83,83,1.1.1.1,{},10
84,84,1.1.1.1,{},10
85,85,1.1.1.1,"{{-2,1}}",8
86,86,1.1.1.1,{},10
87,87,1.1.1.1,{},10
88,88,1.1.1.1,{},10
89,89,1.1.1.1,{},10
90,90,1.1.1.1,"{{-2,1}}",9
91,91,1.1.1.1,"{{-2,1}}",8
92,92,1.1.1.1,{},10
93,93,1.1.1.1,"{{-1,1}}",9
94,94,1.1.1.1,{},10
95,95,1.1.1.1,"{{-2,1}}",8
96,96,1.1.1.1,{},10
97,97,1.1.1.1,{},10
98,98,1.1.1.1,{},10
99,99,1.1.1.1,"{{-3/2,1},{1,1}}",11
100,100,1.1.1.1,{},10
101,101,1.1.1.1,"{{-2,1}}",8
102,102,1.1.1.1,{},10
103,103,1.1.1.1,{},10
104,104,1.1.1.1,{},10
105,105,1.1.1.1,"{{-1,1}}",9
106,106,1.1.1.1,{},10
107,16,1.1.1.1,"{{1/2,1},{1,0}}",6
108,17,1.1.1.1,"{{1,0}}",2
109,107,1.1.1.1,"{{0,1}}",2
110,108,1.1.1.1,"{{0,1}}",2
111,4,1.1.1.1,"{{1,0}}",2
112,5,1.1.1.1,"{{1,0}}",2
113,109,1.1.1.1,"{{-2,1}}",12
114,110,1.1.1.1,{},10
115,111,1.1.1.1,{},10
116,112,1.1.1.1,{},10
117,113,1.1.1.1,{},10
118,114,1.1.1.1,"{{-2,1}}",9
119,115,1.1.1.1,{},10
120,116,1.1.1.1,"{{-1,1},{0,1},{1,0},{1,1}}",13
121,117,1.1.1.1,"{{1,0}}",2
122,117,1.1.1.1,"{{1,0}}",2
